第0类：
		维权	0.024578367198993624
		消费者	0.0139176136969361
		中国	0.010346261273746828
		社会	0.008907059550969062
		国家	0.008587236945907335
		政府	0.008214110573335322
		老百姓	0.008107503038314747
		真的	0.006668301315536982
		希望	0.006561693780516406
		部门	0.006455086245495831
		解决	0.006135263640434105
		法律	0.0059753523379032425
		事情	0.005602225965331229
		相关部门	0.005175795825248928
		闹	0.005015884522718065
		监管部门	0.004962580755207778
		不作为	0.0046960619176563394
		事件	0.004589454382635764
		企业	0.004163024242553463
		事	0.0040031129400226
		监管	0.0038965054050020247
		有关部门	0.0038965054050020247
		违法	0.0038432016374917374
		都是	0.0037898978699814497
		商家	0.003736594102471162
		的人	0.003629986567450587
		的是	0.003576682799940299
		政府部门	0.0035233790324300115
		发声	0.003363467729899149
		利益	0.0033101639623888614
第1类：
		服务费	0.039088994894346515
		金融	0.035455409383967504
		贷款	0.013886818469794657
		公司	0.011371259270301493
		买车	0.010020310811314425
		之星	0.009787388663213206
		4s店	0.009368128796631013
		第三方	0.009274959937390526
		车主	0.008855700070808332
		说	0.00857619349308687
		发票	0.00820351805612492
		4S店	0.00783084261916297
		收	0.007691089330302239
		元胜	0.007504751611821264
		利	0.007225245034099802
		费用	0.006712816308277121
		收取	0.006666231878656877
		税务局	0.006014049863973464
		奔驰	0.005594789997391271
		垫资	0.00545503670853054
		税务	0.005175530130809077
		解释	0.0049426079827078594
		偷税漏税	0.004756270264226884
		全款	0.004709685834606641
		消费者	0.004569932545745909
		银行	0.00433701039764469
		退	0.0038245816718220096
		开发票	0.0038245816718220096
		客户	0.003777997242201766
		钱	0.0037314128125815224
第2类：
		奔驰	0.04504187444823554
		车	0.015037818233876546
		漏油	0.009788599651642766
		4s店	0.00776049247214335
		说	0.0076411920498198555
		维权	0.007581541838658108
		赔	0.006925389515878885
		换车	0.0066867886712318955
		买	0.00537448402567345
		消费者	0.005314833814511703
		的人	0.00489728233637947
		新车	0.004777981914055975
		换	0.004718331702894227
		分配	0.00465868149173248
		欺诈	0.004241130013600248
		发动机	0.0040621793801150045
		按闹	0.0040621793801150045
		销售	0.0037639283243062678
		车主	0.003644627901982773
		退款	0.003644627901982773
		西安	0.0035849776908210254
		补偿	0.003525327479659278
		4S店	0.003525327479659278
		车辆	0.0032270764238505403
		检测	0.0032270764238505403
		退一	0.003167426212688793
		赔偿	0.003167426212688793
		汽车	0.003167426212688793
		女子	0.003107776001527045
		质量问题	0.0030481257903652976
第3类：
		央视	0.01051048890679405
		都是	0.006553768236885269
		说	0.00569048372708699
		想	0.005114960720554804
		新闻	0.005043020344738281
		钱	0.004467497338206095
		说话	0.004467497338206095
		评论	0.0038919743316739087
		真的	0.003676153204224339
		研究生	0.003676153204224339
		曝光	0.0035322724525912925
		记者	0.0033164513251417228
		黑	0.0032445109493251995
		年	0.0032445109493251995
		有人	0.0031725705735086763
		强	0.0028128686944260597
		领导	0.0027409283186095364
		厉害	0.00259704756697649
		挖	0.00259704756697649
		感觉	0.0024531668153434435
		点	0.0024531668153434435
		这是	0.0023812264395269202
		公开	0.0023812264395269202
		群众	0.0022373456878938738
		我就	0.0021654053120773505
		除恶	0.0021654053120773505
		赞	0.0021654053120773505
		还没	0.002021524560444304
		没人	0.002021524560444304
		办	0.0018057034329947341
第4类：
		和解	0.027939129908634355
		车主	0.02511546761864424
		女	0.019417720497771324
		行业	0.014022508622254492
		事情	0.009131522155664467
		深挖	0.008072648796918174
		维权	0.007971803715132812
		查	0.00777011355156209
		小姐姐	0.007114620519957241
		支持	0.006711240192815796
		个案	0.006106169702103628
		利益	0.005854056997640225
		关注	0.005854056997640225
		事件	0.005753211915854863
		压力	0.005450676670498779
		不了了之	0.0052994090478207375
		网友	0.0051481414251426955
		央视	0.005047296343357334
		事	0.0049968738024646535
		根源	0.0049968738024646535
		希望	0.0049464512615719726
		说	0.004896028720679292
		做	0.00474476109800125
		生活	0.0043918033117524855
		解决	0.0042405356890744435
		肯定	0.0041396906072890816
		这件事	0.0040388455255037205
		政府	0.0039884229846110395
		这是	0.0038875779028256785
		奔驰	0.003837155361932998
